"dcg"
{
	// General Strings
	"OK"											"ОК"
	"DCG_DeckBuilder_Main_DeckRestriction"			"Колода должна содержать хотя бы {i:deckRestrictionMainCount} карт. В личную колоду можно поместить до трёх копий одной карты."
	"DCG_DeckBuilder_Item_DeckRestriction"			"Колода должна содержать хотя бы {i:deckRestrictionItemCount} предметов. В личную колоду можно поместить до трёх копий одного предмета."
	"DCG_DeckBuilder_Draft_Hero_DeckRestriction"	"Колода должна содержать ровно {i:deckRestrictionHeroCount} героев. В драфтовую колоду можно поместить несколько копий одного героя или до трёх копий каждого из базовых героев."
	"DCG_DeckBuilder_Draft_Main_DeckRestriction"	"Колода должна содержать хотя бы {i:deckRestrictionMainCount} карт. В драфтовую колоду можно поместить сколько угодно копий карты."
	"DCG_DeckBuilder_Draft_Item_DeckRestriction"	"Колода должна содержать хотя бы {i:deckRestrictionItemCount} предметов. В драфтовую колоду можно поместить сколько угодно копий предмета или до трёх копий каждого из базовых предметов."
	"DCG_DeckBuilder_LoadDeck"			            "ЗАГРУЗИТЬ"
	"DCG_DeckBuilder_RecycleResultsTicketsOut"		"{i:recycleNewTickets}"
	"DCG_DeckBuilder_RecycleProgressText"			"{i:recycleDisplayProgress} / {i:recycleTicketRate}"
	"DCG_DeckBuilder_RecycleProgressDetails"		"До следующего билета"
	"DCG_DeckBuilder_TotalCards"	                "Всего карт: {i:herosAndNonIncludeCardCount}"
	"DCG_DeckBuilder_TotalEstPrice"	                "Примерная сумма: "
	"DCG_DeckBuilder_Illustrator"	                "Художник: {s:illustrator}"
	"DCG_DeckBuilder_Filter_Rarity"					"Фильтр: редкость карт"
	"DCG_DeckBuilder_Filter_Rarity_Basic"			"Фильтр: базовые карты"
	"DCG_DeckBuilder_Filter_Rarity_Common"			"Фильтр: обычные карты"
	"DCG_DeckBuilder_Filter_Rarity_Uncommon"		"Фильтр: необычные карты"
	"DCG_DeckBuilder_Filter_Rarity_Rare"			"Фильтр: редкие карты"
	"DCG_DeckBuilder_Filter_Rarity_Epic"			"Фильтр: эпические карты"
	"DCG_DeckBuilder_Filter_Items"					"Фильтр: предметы"
	"DCG_DeckBuilder_Filter_Items_Weapon"			"Фильтр: оружие"
	"DCG_DeckBuilder_Filter_Items_Armor"			"Фильтр: броня"
	"DCG_DeckBuilder_Filter_Items_Accessory"		"Фильтр: аксессуары"
	"DCG_DeckBuilder_Filter_Items_Consumable"		"Фильтр: расходники"
	"DCG_DeckBuilder_Filter_Hero"					"Фильтр: герои"
	"DCG_DeckBuilder_Filter_Main"					"Фильтр: основные типы карт"
	"DCG_DeckBuilder_Filter_Main_Creep"				"Фильтр: крипы"
	"DCG_DeckBuilder_Filter_Main_Spell"				"Фильтр: заклинания"
	"DCG_DeckBuilder_Filter_Main_Improvement"		"Фильтр: улучшения"
	"DCG_DeckBuilder_Filter_Color"					"Фильтр: цвет карт"
	"DCG_DeckBuilder_Filter_Main_Color_Red"			"Фильтр: красные карты"
	"DCG_DeckBuilder_Filter_Main_Color_Green"		"Фильтр: зелёные карты"
	"DCG_DeckBuilder_Filter_Main_Color_Blue"		"Фильтр: синие карты"
	"DCG_DeckBuilder_Filter_Main_Color_Black"		"Фильтр: чёрные карты"

	"DCG_DeckBuilder_FilterUnlock"					"Разблокировать"
	"DCG_DeckBuilder_Filter_Unlock"					"Разблокировать"

	"DCG_DeckBuilder_Filter_Unlock_Newbie"				"New Account"
	"DCG_DeckBuilder_Filter_Unlock_AllBasic"			"All Basic"
	"DCG_DeckBuilder_Filter_Unlock_SomeIntermediate"	"Some Intermediate"
	"DCG_DeckBuilder_Filter_Unlock_AllIntermediate"		"All Intermediate"
	"DCG_DeckBuilder_Filter_Unlock_SomeAdvanced"		"Some Advanced"
	"DCG_DeckBuilder_Filter_Unlock_AllCards"			"All"

	"DCG_DeckBuilder_HeroLineup_Round"				"Раунд"
	"DCG_DeckBuilder_HeroLineup_Pick"				"Выбор"

	"DCG_DeckInfo_HeroesTitle"						"Герои"
	"DCG_DeckInfo_MainTitle"						"Осн. карты"
	"DCG_DeckInfo_ShopTitle"						"Лавка"
	"DCG_DeckInfo_ItemsTitle"						"Предметов: {i:categoryElements}"
	"DCG_DeckInfo_OtherTitle"						"Карт: {i:categoryElements}"
	"DCG_DeckInfo_CardsOwned"						"У вас: {i:deckCardsOwned} из {i:deckCardsTotal}"


	"DCG_DeckInfo_Tooltip_SortRarity"				"Сортировать по редкости"
	"DCG_DeckInfo_Tooltip_SortColor"				"Сортировать по цвету"
	"DCG_DeckInfo_Tooltip_SortMana"					"Сортировать по мане"
	"DCG_DeckInfo_Tooltip_SortType"					"Сортировать по типу"
	"DCG_DeckInfo_Tooltip_SortGold"					"Сортировать по золоту"
	"DCG_DeckInfo_Tooltip_SortHeroTurn"				"Сортировать по раунду"
	"DCG_DeckInfo_Tooltip_SampleHand"				"Пример стартовой руки"
	"DCG_DeckInfo_Tooltip_CopyDeckCode"				"Скопировать код колоды"
	"DCG_DeckInfo_Tooltip_CopyDeckText"				"Скопировать текст колоды"
	"DCG_DeckInfo_Tooltip_OpenDeckBuilder"			"Открыть в редакторе колод"

	"DCG_DeckInfo_Rarity_Unspecified"				"Базовые: {i:categoryElements}"
	"DCG_DeckInfo_Rarity_Common"					"Обычные: {i:categoryElements}"
	"DCG_DeckInfo_Rarity_Uncommon"					"Необычные: {i:categoryElements}"
	"DCG_DeckInfo_Rarity_Rare"						"Редкие: {i:categoryElements}"
	"DCG_DeckInfo_HeroTurn_0"						"Неиспользованные"
	"DCG_DeckInfo_HeroTurn_1"						"Раунд 1"
	"DCG_DeckInfo_HeroTurn_2"						"Раунд 2"
	"DCG_DeckInfo_HeroTurn_3"						"Раунд 3"
	"DCG_DeckInfo_ItemType_Consumable"				"Расходники: {i:categoryElements}"
	"DCG_DeckInfo_ItemType_Armor"					"Броня: {i:categoryElements}"
	"DCG_DeckInfo_ItemType_Accessory"				"Аксессуары: {i:categoryElements}"
	"DCG_DeckInfo_ItemType_Weapon"					"Оружие: {i:categoryElements}"
	"DCG_DeckInfo_CardType_Creep"					"Крипы: {i:categoryElements}"
	"DCG_DeckInfo_CardType_Spell"					"Заклинание: {i:categoryElements}"
	"DCG_DeckInfo_CardType_Improvement"				"Улучшение: {i:categoryElements}"
	"DCG_DeckInfo_Color_Red"						"Красные: {i:categoryElements}"
	"DCG_DeckInfo_Color_Green"						"Зелёные: {i:categoryElements}"
	"DCG_DeckInfo_Color_Blue"						"Синие: {i:categoryElements}"
	"DCG_DeckInfo_Color_Black"						"Чёрные: {i:categoryElements}"
	"DCG_DeckInfo_GoldCost_N"						"{i:categoryInt} золота: {i:categoryElements}"
	"DCG_DeckInfo_ManaCost_N"						"{i:categoryInt} маны: {i:categoryElements}"

	"DCG_DeckInfo_MainDeck"							"Карт в основной колоде: {i:main_deck_count}"
	"DCG_DeckInfo_ItemsDeck"						"Карт в колоде предметов: {i:item_deck_count}"

	"StoreCheckout_Error_Title"						"Ошибка"
	"StoreCheckout_NoItems"							"Ваша корзина пуста!"
	"StoreCheckout_TooManyItems"					"В вашей корзине слишком много товаров!"
	"StoreCheckout_Loading"							"Покупка..."
	"StoreCheckout_Unavailable"						"Не удалось совершить покупку."
	"StoreCheckout_Cancelling"						"Отмена..."
	"StoreCheckout_CannotPurchase"					"Не удалось купить товар"
	"StoreCheckout_Fail"							"В данный момент внутриигровой магазин закрыт."
	"StoreCheckout_InvalidParam"					"Произошла внутренняя ошибка. Средства с вашего кошелька Steam не сняты. Пожалуйста, попробуйте совершить покупку позже."
	"StoreCheckout_InternalError"					"Произошла ошибка при инициализации или обновлении операции. Повторите попытку через пару минут или свяжитесь со службой поддержки."
	"StoreCheckout_ContactSupport"					"При выполнении операции произошла ошибка. Пожалуйста, свяжитесь со службой поддержки."
	"StoreCheckout_NotLoggedin"						"Чтобы завершить покупку, необходимо войти в Steam."
	"StoreCheckout_WrongCurrency"					"Валюта операции отличается от валюты вашего кошелька Steam."
	"StoreCheckout_NoAccount"						"Ваша учётная запись Steam недоступна. Пожалуйста, попробуйте совершить покупку позже."
	"StoreCheckout_InsufficientFunds"				"У вас недостаточно средств."
	"StoreCheckout_TimedOut"						"Время операции истекло. Пожалуйста, попробуйте повторить покупку."
	"StoreCheckout_SteamAccountDisabled"			"Ваша учётная запись Steam отключена. С неё невозможно совершать покупки."
	"StoreCheckout_SteamAccountNoPurchase"			"Для этого аккаунта отключены операции с кошельком Steam."
	"StoreCheckout_OldPriceSheet"					"Локальный список товаров устарел. Запрос нового списка..."
	"StoreCheckout_TransactionNotFound"				"Внутриигровой магазин не нашёл информацию об этой операции. Пожалуйста, попробуйте совершить покупку позже."
	"StoreCheckout_TransactionCancelled"			"Операция отменена. Средства не списаны."
	"StoreCheckout_TransactionCompleted"			"Операция завершена!\nПоздравляем с покупкой!"
	"StoreCheckout_CompleteButUnfinalized"			"Не удалось подтвердить результат покупки. Если покупка совершена, вы получите товары из неё немного позже."
	"StoreCheckout_NotEnoughRoom"					"В вашем арсенале не хватает места на такое число товаров."
	"StoreCheckout_ContactSupport_Dialog_Title"		"Внимание"
	"StoreCheckout_ContactSupport_Dialog_Btn"		"Связаться"
	"StoreCheckout_LimitedQuantityItemsUnavailable"	"Товар, который вы пытаетесь купить, распродан или в данный момент недоступен."

	"DCG_PurchaseInProgress_Title"					"Покупка..."
	"DCG_PurchaseInProgress_Text"					"Ваш запрос на покупку обрабатывается."
	"DCG_PurchaseFinalizing_Text"					"Ваш запрос на покупку подтверждается."

	"DCG_ImmediatePurchase_SendFailed"				"Ошибка при отправке запроса. Возможно, серверы игры недоступны. Попробуйте разместить запрос позже."
	"DCG_ImmediatePurchase_Timeout"					"Время ожидания ответа на запрос истекло. Повторите попытку позже."
	"DCG_ImmediatePurchase_InitFailed"				"Мы не смогли инициировать процесс покупки в Perfect World. Повторите попытку позже."
	"DCG_ImmediatePurchase_Success_Title"			"Готово"
	"DCG_ImmediatePurchase_Success_Text"			"Покупка завершена! Приобретённые товары вскоре появятся в вашем арсенале."
	"DCG_ImmediatePurchase_Cancelled_Title"			"Отменено"
	"DCG_ImmediatePurchase_FailedCantDetermineSuccess"	"Во время покупки связь с серверами игры была потеряна, однако покупка могла быть завершена. Пожалуйста, дождитесь восстановления связи с серверами и посмотрите, не появилась ли ваша покупка в арсенале. Если покупка не завершена, средства не будут списаны."
	"DCG_ImmediatePurchase_UnbundleTimeout"			"Время ожидания ответа на запрос распаковки истекло. Повторите попытку позже."
	"DCG_ImmediatePurchase_UnbundleFailure"			"Не удалось распаковать набор. Повторите попытку позже."
	"DCG_ImmediatePurchase_LateCancel"				"Покупка была отменена ранее. Средства не списаны."
	"DCG_ConfirmPurchaseTitle"						"Подтвердить покупку"
	"DCG_ConfirmPurchaseText"						"Вы хотите купить этот товар?"

	"DCG_GC_updating"						"Обновление сети Artifact..."
	"DCG_GC_steamupdating"					"Обновление серверов Steam..."
	"DCG_GC_noconnection"					"Нет подключения к сети Artifact."
	"DCG_GC_nosteam"						"Соединение со Steam потеряно"

	"DCG_DisconnectedFromServer_Generic"	"Соединение с сервером игры потеряно."
	"DCG_DisconnectedFromServer_ConnectionLost"	"Соединение с сервером игры потеряно."
	"DCG_DisconnectedFromServer_LocalProblem"	"Соединение с сервером игры потеряно.<br/>Возможно, возникла проблема с подключением к интернету."
	"DCG_FailedToConnectToServer_Generic"	"Не удалось подключиться к серверу игры."
	"DCG_FailedToConnectToServer_LocalProblem"	"Не удалось подключиться к серверу игры.<br/>Возможно, возникла проблема с подключением к интернету."
	"DCG_ChallengeFriendDesc"				"Игрок {s:friendName} пока не ответил на ваш вызов..."
	"DCG_ChallengeRequested" 				"Вам бросили вызов"
	"DCG_ChallengeRequestedDesc"			"{s:friendName} вызывает вас на дуэль!"
	"DCG_FindOpponent"						"Подбор игры"
	"DCG_FindOpponentDesc"					"Поиск игры..."
	"DCG_JoiningGame"						"Подключение..."
	"DCG_JoiningGameDesc"					"Подключение к противнику..."
	"DCG_ConnectingToServer"				"Подключение к серверу игры..."

	"DCG_FindOpponentLeague"				"Подбор игры в лиге"
	"DCG_FindOpponentLeagueDesc"			"Поиск игры в лиге..."
	"DCG_LeagueDeckFailure"					"Нет доступных колод для лиги"
	"DCG_LeagueDeckFailureDesc"				"Чтобы начать поиск, нужно собрать подходящую для лиги колоду."

	"DCG_ConfirmLeave"						"Игра не завершена!"
	"DCG_ConfirmLeaveDesc"					"Вы действительно хотите выйти? Эта игра не завершена."

	"DCG_ConfirmLeave_Spectating"			"Покинуть игру"
	"DCG_ConfirmLeave_Spectating_Desc"		"Вы уверены, что хотите прекратить просмотр этой игры?"

	"DCG_ConfirmPayEntryFee"				"Заплатить за участие"
	"DCG_ConfirmPayEntryFeeDesc"			"Вы хотите заплатить за участие игрока {g:dcg_persona:account_id}? Плата за участие вернётся, если вы или {g:dcg_persona:account_id} покинете турнир до его начала или если турнир будет отменён."
	"DCG_ConfirmPayGlobalEntryFeeDesc"			"Вы хотите заплатить за участие? Плата за участие вернётся, если турнир будет отменён до завершения фазы приглашений."
	"DCG_ConfirmPayEntryFeeDescSelf"		"Вы хотите заплатить за участие? Плата за участие вернётся, если покинете турнир до его начала или если турнир будет отменён."
	
	"DCG_PayEntryFee_ResponseDisabled"		"В данный момент заплатить за участие невозможно. Повторите попытку позже."
	"DCG_PayEntryFee_ResponseInternalError"	"Произошла внутренняя ошибка. Повторите попытку позже."
	"DCG_PayEntryFee_ResponseInvalidItem"	"Один из предметов для платы за участие недействителен."
	"DCG_PayEntryFee_ResponseInvalidItemType" "Один из предметов для платы за участие имеет неверный тип."
	"DCG_PayEntryFee_ResponseInvalidStage"	"На текущем этапе турнира заплатить за участие невозможно."
	"DCG_PayEntryFee_ResponseInvalidTarget"	"Пользователь, за которого вы пытаетесь заплатить, не участвует в этом турнире."
	"DCG_PayEntryFee_ResponseItemAlreadyFilled"	"Пользователь, за которого вы пытаетесь заплатить, уже оплатил своё участие."
	"DCG_PayEntryFee_ResponseMissingPermissions" "Недостаточно полномочий для оплаты участия."
	"DCG_PayEntryFee_ResponseSuccess"		"Вы успешно заплатили за участие."
	"DCG_PayEntryFeeSuccess"				"Готово!"
	"DCG_PayEntryFeeError"					"Ошибка при оплате участия"
	"DCG_StartMatchmaking_AlreadyFindingMatch"			"Невозможно начать поиск: вы уже пытаетесь найти игру."
	"DCG_StartMatchmaking_PartyMemberInLobby"			"Невозможно начать поиск: вы находитесь в игре. Пожалуйста, сначала покиньте текущую игру."
	"DCG_StartMatchmaking_InvalidClientVersion"			"Невозможно начать поиск: версия вашего клиента устарела. Пожалуйста, обновите и перезапустите клиент."
	"DCG_StartMatchmaking_MatchmakingDisabled"			"В данный момент поиск игры в этом режиме отключён. Повторите попытку через несколько минут."
	"DCG_StartMatchmaking_MatchmakingTooBusy"			"Система поиска игры перегружена. Повторите попытку через несколько минут."
	"DCG_StartMatchmaking_LeagueClosed"					"Поиск игры в указанном состязании сейчас закрыт."
	"DCG_StartMatchmaking_InvalidLeague"				"Вы не участвуете в этом состязании, либо оно уже завершено."
	"DCG_StartMatchmaking_InvalidDeck"					"Предоставленная колода неполная. Вам необходимо владеть всеми картами в этой колоде."
	"DCG_StartMatchmaking_InternalError"				"При создании игры произошла внутренняя ошибка."
	"DCG_StartMatchmaking_FailedToGetResponse"			"Не удалось связаться с сетью Artifact и начать поиск игры. Повторите попытку через несколько минут."
	"DCG_StartMatchmaking_ErrorTitle"					"Ошибка"
	"DCG_StartMatchmaking_TournamentNoMatches"			"В этом турнире нет доступных вам игр"
	"DCG_StartMatchmaking_TournamentDeckFailed"			"Не удалось загрузить турнирную колоду. Повторите попытку чуть позже."
	"DCG_StartMatchmaking_TournamentRegFailed"			"Не удалось зарегистрироваться. Повторите попытку чуть позже."
	"DCG_StartMatchmaking_HasUnownedCards"				"У вас есть не все карты из выбранной колоды."

	"DCG_StartMatchmaking_TournamentDeckSuccessTitle"	"Готово"
	"DCG_StartMatchmaking_TournamentDeckSuccess"		"Ваша турнирная колода зарегистрирована"
	"DCG_StartMatchmaking_TournamentRegSuccess"		"Вы успешно зарегистрировались"

	"DCG_StartMatchmaking_NoRegionPings"				"Не удалось подтвердить подключение к центру данных Artifact. Проверьте соединение с интернетом."

	"DCG_MatchmakingStopped_Header"						"Вы удалены из подбора игры"
	"DCG_MatchmakingStopped_Reason_Unspecified"			"Ошибка сервера"
	"DCG_MatchmakingStopped_Reason_VersionUpdated"		"Версия вашего клиента устарела. Пожалуйста, обновите и перезапустите клиент."
	"DCG_MatchmakingStopped_Reason_FailedReadyUp"		"Вы не приняли игру"
	"DCG_MatchmakingStopped_Reason_TourneySeriesClosed"	"Ваша серия в турнире завершена."


	"DCG_System_ClientVersionOutOfDateTitle"		"Версия клиента устарела"
	"DCG_System_ClientVersionOutOfDate"				"Пожалуйста, закройте клиент и обновите его до последней версии"

	"DCG_Paused"							"Пауза"

	// UI Popups
	"DCG_Popup_DestructiveAction"					"Нерекомендованное действие"
	"DCG_Popup_DestructiveActionDesc"				"Вы собираетесь навредить союзнику или помочь противнику. Если вы играете в Artifact недавно, внимательно ознакомьтесь с описанием этого действия или выберите другую цель."
	"DCG_Popup_WeaponOverwrite"						"Замена оружия"
	"DCG_Popup_WeaponOverwriteDesc"					"Вы собираетесь заменить оружие, уничтожив текущий предмет в этой ячейке. Продолжить?"
	"DCG_Popup_ArmorOverwrite"						"Замена брони"
	"DCG_Popup_ArmorOverwriteDesc"					"Вы собираетесь заменить броню, уничтожив текущий предмет в этой ячейке. Продолжить?"
	"DCG_Popup_AccessoryOverwrite"					"Замена аксессуара"
	"DCG_Popup_AccessoryOverwriteDesc"				"Вы собираетесь заменить аксессуар, уничтожив текущий предмет в этой ячейке. Продолжить?"
	"DCG_Popup_DestructiveHealingTarget"			"Лечение врага"
	"DCG_Popup_DestructiveHealingTargetDesc"		"Вы собираетесь излечить существо противника. Продолжить?"
	"DCG_Popup_HealingFullTarget"					"Лечение здоровой цели"
	"DCG_Popup_HealingFullTargetDesc"				"Вы собираетесь излечить существо с полным запасом здоровья. Продолжить?"
	"DCG_Popup_ImprovementsOverwrite"				"Замена улучшения"
	"DCG_Popup_ImprovementsOverwriteDesc"			"Вы собираетесь разместить на линии 17-е улучшение. При этом будет уничтожено другое ваше случайное улучшение на этой линии. Продолжить?"
	"DCG_Popup_RevealCard"							"Показ карты"
	"DCG_Popup_RevealCardDesc"						"Вы собираетесь показать противнику карту в вашей руке. Продолжить?"
	"DCG_Popup_DeployOntoUnit"						"Размещение над существом"
	"DCG_Popup_DeployOntoUnitDesc"					"Вы собираетесь разместить существо на другим существом. При этом будет уничтожен существующий крип, а герой отправлен на фонтан. Продолжить?"
	"DCG_Popup_ReplaceUnit"							"Замена существа"
	"DCG_Popup_ReplaceUnitDesc"						"Вы собираетесь заменить существо. при этом будет уничтожено существующее существо. Продолжить?"
	"DCG_Popup_ConfirmDestructive"					"Да, всё верно"
	"DCG_Popup_CancelDestructive"					"Нет, не надо"
	"DCG_Popup_ConfirmConcession"					"Сдаться"
	"DCG_Popup_ConfirmConcessionDesc"				"Вы действительно хотите сдаться?"
	"DCG_Popup_ReplayDownloadFailed_Title"			"Не удалось загрузить запись"
	"DCG_Popup_ReplayDownloadFailed_Body"			"Не удалось загрузить указанную запись. Повторите попытку позже."
	"DCG_Popup_Ping_NoDataCenters"					"Не удалось подтвердить подключение к центру данных Artifact.  Проверьте соединение с интернетом."

	"DCG_Popup_CampaignTutorialTitle"				"Зов битвы"
	"DCG_Popup_CampaignTutorialWelcome"				"Добро пожаловать в обучающую кампанию"
	"DCG_Popup_CampaignTutorialDesc"				"Ваша изначальная колода будет содержать простые карты. Более сложные карты будут добавлены по мере продвижения в кампании и лучшего понимания колоды. Выберите первое задание и нажмите «Играть»."

	"DCG_BadAspect_Title"					"Неверное соотношение сторон"
	"DCG_BadAspect_Message"					"Artifact поддерживает только форматы 16:9 и 16:10. Пожалуйста, измените настройки графики."

	"DCG_PlayerName_Bot"					"[Бот]"
	"DCG_PlayerName_Bot_MediaMode"			"Jolixia"

	"DCG_UI_ItemDeck"						"Своя колода: {d:cardsLeft}/{d:totalCards}"
	"DCG_UI_Consumable"						"Расходники"
	"DCG_UI_ReserveItem"					"Отложить"
	"DCG_UI_Reserved"						"Отложено"
	"DCG_UI_ReserveItem_Desc"				"Если отложить предмет, он останется в потайной лавке на следующий раунд."
	"DCG_UI_BuyItem"						"Купить"
	"DCG_UI_Minimize"						"Показать поле"
	"DCG_UI_Maximize"						"Показать лавку"
	"DCG_UI_RerollPanoramaShop"				"Замена"
	"DCG_UI_RerollPanoramaShop_Cost"		"2"
	"DCG_UI_ClosePanoramaShop"				"Закрыть лавку"
	"DCG_UI_InvestShop"						"КУПИТЬ <font color=\"gold\">+{d:RewardForInvest} ЗОЛОТА</font>"
	"DCG_UI_UpgradeShop"					"УЛУЧШИТЬ ЛАВКУ"
	"DCG_UI_UpgradeShop_Cost"				"{d:CostToLevelShop}"

	"DCG_UI_TooltipShopTiers"				"ОСТАВШИЕСЯ ПРЕДМЕТЫ"
	"DCG_UI_TooltipShopTiers_Desc"			"Количество предметов, оставшихся для покупки на каждом уровне. Улучшите для получения более дорогих предметов.<br><br>Левая ячейка показывает предмет самого высокого доступного уровня. Средняя ячейка выравнивает предметы по уровню. Правая ячейка показывает предмет, который вы можете приобрести."
	"DCG_UI_TooltipShopTiers_Tier1_Name"	"УРОВЕНЬ 1: "
	"DCG_UI_TooltipShopTiers_Tier1_Count"	"{d:ShopItemCountTier1}"
	"DCG_UI_TooltipShopTiers_Tier2_Name"	"УРОВЕНЬ 2: "
	"DCG_UI_TooltipShopTiers_Tier2_Count"	"{d:ShopItemCountTier2}"
	"DCG_UI_TooltipShopTiers_Tier3_Name"	"УРОВЕНЬ 3: "
	"DCG_UI_TooltipShopTiers_Tier3_Count"	"{d:ShopItemCountTier3}"
	"DCG_UI_TooltipShopTiers_Tier4_Name"	"УРОВЕНЬ 4: "
	"DCG_UI_TooltipShopTiers_Tier4_Count"	"{d:ShopItemCountTier4}"
	"DCG_UI_TooltipShopTiers_Tier5_Name"	"УРОВЕНЬ 5: "
	"DCG_UI_TooltipShopTiers_Tier5_Count"	"{d:ShopItemCountTier5}"
	
	"DCG_UI_ShopHeader"						"Уровень лавки: {d:ShopLevel}"
	"DCG_UI_DeployLane1"					"Разместить слева"
	"DCG_UI_DeployLane2"					"Разместить в центре"
	"DCG_UI_DeployLane3"					"Разместить справа"
	"DCG_UI_DeployLaneAny"					"Разместить героев"
	"DCG_UI_DoneDeploying"					">> Нажмите для размещения <<"
	"DCG_UI_WaitingForOpponent"				"Ожидание противника"
	"DCG_UI_ClickToConfirmDeployment"		"Нажмите, чтобы подтвердить размещение"

	"DCG_UI_SecretShop"						"СЕКРЕТНАЯ ЛАВКА"
	"DCG_UI_SecretShopLevel"				"УРОВЕНЬ"
	"DCG_UI_SecretShopLevel_Amt"			"{d:ShopLevel}"
	"DCG_UI_Purchase"						"КУПИТЬ ПРЕДМЕТЫ"
	"DCG_UI_OrInvest"						"ИЛИ ПОЛУЧИТЬ ЗОЛОТО"
	"DCG_UI_Buy"							"КУПИТЬ"
	"DCG_UI_ShopGold"						"ЗОЛОТО"
	"DCG_UI_ShopGold_Amt"					"{d:ShopGoldAvailable}"
	"DCG_UI_TooltipInvest"					"Инвестируйте вместо покупки. Увеличивается на 1 каждый раз, когда вы улучшаете магазин."
	"DCG_UI_TooltipUpgrade"					"Улучшение лавки открывает следующий уровень предметов (на 5 золота выше) и увеличивает вознаграждение за инвестирование на 1 золото."
	"DCG_UI_TooltipReroll"					"Смотрите 3 новых предмета."

	"DCG_PlayerInfo_MatchClock"				"Ваше время на игру"
	"DCG_PlayerInfo_MatchClockOpponent"		"Время противника на игру"
	"DCG_PlayerInfo_CurrentGold"			"Ваш запас золота"
	"DCG_PlayerInfo_CurrentGoldOpponent"	"Запас золота противника"
	"DCG_PlayerInfo_CardsInHand"			"Число карт в вашей руке"
	"DCG_PlayerInfo_CardsInHandOpponent"	"Число карт в руке противника"
	"DCG_PlayerInfo_SortDrawOrder"			"Сортировать руку по новизне"
	"DCG_PlayerInfo_SortManaCost"			"Сортировать руку по мане"
	"DCG_PlayerInfo_SortColor"				"Сортировать руку по цвету"
	"DCG_PlayerInfo_SortedByDrawOrder"		"Сортировка по новизне"
	"DCG_PlayerInfo_SortedByManaCost"		"Сортировка по мане"
	"DCG_PlayerInfo_SortedByColor"			"Сортировка по цвету"


	"DCG_Tooltips_CombatPreview"			"Итог сражения"
	"DCG_Tooltips_CombatPreviewDesc"		"Ожидаемый результат сражения."
	"DCG_Tooltips_TotalAttribute"			"Итого"
	"DCG_Tooltips_CurrentAttribute"			"Текущее значение"
	"DCG_Tooltips_AttributeBreakdown"		"Начальное + модификаторы"
	"DCG_Tooltips_PreviousCombatDamage"		"Урон"
	"DCG_Tooltips_PreviousCombatDamageDesc"	"Общий предыдущий урон"
	"DCG_Tooltips_CardModifier"				"Модификатор карты"
	"DCG_Tooltips_ModifierType_Active"		"Активная способность"
	"DCG_Tooltips_ModifierType_Passive"		"Пассивная способность"
	"DCG_Tooltips_ModifierType_AppliedEffect"	"Эффект заклинания"
	"DCG_Tooltips_ModifierType_ContinuousEffect"	"Продолжительный эффект"
	"DCG_Tooltips_ModifierType_Trigger"		"Автоматическая способность"
	"DCG_Tooltips_ModifierType_DeathEffect"		"Эффект смерти"
	"DCG_Tooltips_ModifierType_Item"		"Предмет"
	"DCG_Tooltips_ModifierType_Improvement"	"Улучшение"
	"DCG_Tooltips_CurrentEffects"			"Текущие эффекты:"
	"DCG_Tooltips_BaseAbility"				"Базовая способность"
	"DCG_Tooltips_Description"				"Описание:"
	"DCG_Tooltips_Notes"					"Примечания:"
	"DCG_Tooltips_ShopHoldButton"			"Заменить предмет в каждой ячейке за 1 золота"
	"DCG_Tooltips_Mana"						"Мана"

	"DCG_Tooltips_CombatModifiers"			"Боевые способности"

	"DCG_CardAttributeValue_Numerator"		"{s:sign}{i:AttributeValue}"
	"DCG_CardAttributeValue_Denominator"		"{i:BaseValue}"

	"DCG_Tooltips_StartingHealth"			"Текущее здоровье"
	"DCG_Tooltips_FinalHealth1"				"Здоровье после сражения"
	"DCG_Tooltips_FinalHealth2"				""
	"DCG_Tooltips_Damage"					"Предыдущий урон"
	"DCG_Tooltips_DeathShieldLostDamage"	"Щит смерти исчезнет"
	"DCG_Tooltips_MaybeLethalDamage"		"Смертельный урон?"
	"DCG_Tooltips_LethalDamage"				"Смертельный урон"
	"DCG_Tooltips_NonLethalDamage"			"Несмертельный урон"

	"DCG_Tooltips_DamageType_Combat"		"Урон от атаки"
	"DCG_Tooltips_DamageType_Combat_Modified"		"Модифицированный урон от атаки"
	"DCG_Tooltips_DamageType_Retaliation"	"Урон от контратаки"
	"DCG_Tooltips_DamageType_Cleave"		"Урон от рассечения"
	"DCG_Tooltips_DamageType_Siege"			"Осадный урон"
	"DCG_Tooltips_DamageType_Regeneration"	"Регенерация"
	"DCG_Tooltips_DamageType_Decay"				"Decay"
	"DCG_Tooltips_DamageType_Armor"				"Броня"
	"DCG_Tooltips_DamageType_Reflect"		"Reflected Damage"

	"DCG_Tooltips_CombatPreview_Header"							"Итог сражения"
	"DCG_Tooltips_CombatPreview_SourceName"						"{s:SourceName}"
	"DCG_Tooltips_CombatPreview_SourceName_WithStacks"			"{s:SourceName} x{i:StackCount}"
	"DCG_Tooltips_CombatPreview_Modifier_SourceName"			"{s:SourceName} ({s:sign}{i:Value})"
	"DCG_Tooltips_CombatPreview_Modifier_SourceName_WithStacks"	"{s:SourceName} ({s:sign}{i:Value}) x{i:StackCount}"

